Column1;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101;Column119;Column120;Column121;Column126;Column128
8;1;19;33;2;9;12;17;34;47;29;32;2;1;37;72;34;6;29;15;43;39;4;39;32;27;27;41;8;19;1;18;48;27;68;23;41;25;52;68;4;75;75;35;55;59;61;56;74;76;4;14;3;24;27;37;39;7;7;8;8;89;6;14;13;33;39;28;55;9;51;5;21;71;52;5;26;65;14;6;22;19;18;36;35;38;34;38;46;25;4;0;12;42;5;51;64;12;26;2;32;2
53;1;0;16;12;74;45;7;26;59;35;27;2;1;31;72;11;45;25;29;39;29;37;38;33;16;3;35;1;24;14;24;3;27;73;57;15;42;36;1;63;91;1;29;43;47;6;39;46;53;0;24;1;52;62;64;63;25;27;25;23;84;1;16;1;17;29;17;26;2;82;0;2;79;24;2;25;65;16;0;21;2;21;42;38;4;37;29;32;18;0;0;21;5;34;6;52;2;12;45;0;67
24;1;0;42;49;56;17;4;39;47;28;32;0;0;3;58;19;39;38;4;84;28;27;29;27;7;29;39;1;27;27;43;19;36;58;32;29;49;32;63;41;71;7;45;42;44;43;43;71;67;1;46;0;7;6;15;19;2;2;4;5;88;4;2;2;46;52;43;42;15;51;5;1;86;41;29;3;52;47;45;18;17;16;27;29;27;31;48;39;28;0;0;14;49;54;67;56;1;21;2;0;43
34;1;4;77;1;8;12;1;51;5;34;21;6;1;58;89;21;43;36;2;82;51;36;4;39;16;25;44;1;1;9;25;31;33;71;36;45;37;39;34;45;49;44;75;65;54;83;65;85;86;3;33;2;11;2;3;31;5;8;11;11;81;8;56;62;85;77;1;94;12;1;5;1;97;96;6;47;52;11;11;24;21;19;75;7;77;89;63;51;47;0;0;19;3;73;64;65;2;39;28;0;12
42;1;1;55;2;95;9;5;38;38;23;36;2;9;5;72;16;68;44;11;71;46;43;41;28;0;74;48;0;6;25;3;33;12;65;67;38;42;46;22;27;2;21;51;91;91;89;85;4;6;0;6;0;3;7;2;27;1;2;4;5;88;5;16;19;59;6;37;89;2;19;5;1;89;87;4;55;73;5;14;31;31;3;4;36;38;38;22;51;21;0;0;11;72;64;61;53;4;9;2;0;3
6;1;2;28;6;54;1;25;31;48;27;37;4;1;52;68;2;61;28;15;25;62;72;76;77;28;52;6;1;12;13;12;8;1;65;19;77;6;91;49;57;61;58;44;62;69;87;53;3;43;0;11;4;3;35;43;47;5;5;56;57;45;28;25;19;29;53;18;39;26;73;0;2;84;3;16;28;25;2;5;94;1;1;67;63;68;62;47;59;11;0;0;7;42;49;73;64;1;58;1;0;14
44;1;1;39;0;98;6;2;3;37;23;6;2;81;42;5;23;68;61;21;54;43;47;44;4;24;86;36;1;11;29;41;36;28;54;44;53;33;49;25;34;28;28;42;77;81;79;74;57;62;0;13;1;0;2;2;1;0;1;1;3;73;5;12;13;42;54;24;65;3;46;5;1;89;57;9;49;38;5;5;37;38;39;26;35;42;35;46;44;31;0;0;15;81;77;91;84;5;8;6;0;3
6;1;1;74;3;46;2;1;52;55;36;35;0;0;16;44;1;23;53;97;41;15;1;12;8;17;27;21;3;64;96;82;12;1;26;43;34;71;18;38;47;59;52;78;45;43;34;34;29;27;2;5;2;5;59;65;59;69;72;71;6;12;93;74;75;8;68;92;39;89;66;0;1;91;46;22;37;6;28;23;15;13;13;21;24;25;24;64;59;28;0;0;59;58;52;79;78;1;33;0;0;55
21;1;3;34;2;84;2;0;38;45;28;48;4;1;17;47;36;34;55;48;43;21;23;23;19;1;26;22;4;45;52;59;17;55;43;59;36;64;29;62;26;66;67;37;51;55;58;47;65;64;2;29;0;12;9;7;13;0;0;0;0;99;1;12;12;35;38;33;5;1;64;0;4;72;49;5;49;5;57;22;7;7;8;14;17;16;15;38;13;36;1;0;1;78;48;79;75;4;17;4;0;53
29;1;1;4;6;87;3;3;9;82;8;39;2;1;54;59;22;86;42;2;31;85;89;94;11;9;33;8;0;11;4;3;1;11;44;2;1;2;96;3;85;39;36;31;65;73;78;67;72;71;0;7;1;41;44;52;48;22;21;22;19;85;3;9;6;15;34;5;48;3;58;0;2;72;38;7;47;4;1;0;63;71;79;44;42;47;41;23;27;28;0;0;22;42;34;23;9;0;47;11;0;15
